EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type
EST,HO,T,6A,0.8,9302,R
EST,HO,T,3A,3.3,48100,R
EST,HO,T,19,5.8,30015,R
EST,HO,T,4B,2.5,14308,R
EST,HO,T,FW1,0.3,4500,C
EST,HO,T,FW4,0.5,5855,C
EST,HO,T,GPM9,5.0,31505,C
EST,HO,T,4C,2.0,26000,R
EST,HO,T,4CVP,2.0,26000,R
EST,HO,T,7B,1.0,12000,R
EST,HO,T,FW1,0.3,4500,R
EST,HO,T,3A,3.3,48100,C
EST,HO,T,FW4,0.5,5855,R
EST,HO,T,6A,0.8,9302,C
EST,HO,T,4B,2.5,14308,C
EST,LD,T,9A,0.3,2961,R
EST,LD,T,5A,0.5,5855,R
EST,LD,T,FW3,1.5,19425,C
EST,LD,T,C4DM,0.8,0,C
EST,LD,T,C4GM,0.5,6200,C
EST,LD,T,9B,6.5,50876,R
EST,LD,T,GBMD,0.8,9302,C
EST,LD,T,4K,2.0,27000,R
EST,LD,T,4I,2.0,26000,R
EST,LD,T,4M,1.0,18000,R
EST,LD,T,7,7.0,25417,R
EST,LD,T,4A,3.0,17631,R
EST,LD,T,FAC,0.8,9653,R
EST,LD,T,C4AV,2.0,26000,C
EST,LD,T,C4CV,1.5,19425,C
EST,LD,T,7BVP,1.0,13500,C
EST,LD,T,C4EV,1.0,13500,C
EST,LD,T,C4EM,1.5,19425,C
EST,LD,T,C4FM,0.8,12500,C
EST,LD,T,CMDG,2.0,26000,C
EST,LD,T,COTH,0.8,9302,C
EST,LD,T,C4KV,2.0,27000,C
EST,MD,T,GM10,1.5,19425,C
EST,MD,T,GM11,2.0,26000,C
EST,MD,T,GM12,3.0,26000,C
EST,MD,T,7,7.0,25417,R
EST,MD,T,4A,3.0,17631,R
EST,MD,T,FAC,0.8,9653,R
EST,MD,T,C4AV,2.0,26000,C
EST,MD,T,C4CV,1.5,19425,C
EST,MD,T,7BVP,1.0,13500,C
EST,MD,T,C4EV,1.0,13500,C
EST,MD,T,C4EM,1.5,19425,C
EST,MD,T,C4FM,0.8,12500,C
EST,MD,T,CMDG,2.0,26000,C
EST,MD,T,COTH,0.8,9302,C
EST,MD,T,C4KV,2.0,27000,C
EST,MD,T,4E,0.5,6500,R
EST,MD,T,C4,0.8,9302,C
EST,ST,T,8,2.0,23225,R
EST,ST,T,FW2,0.8,9257,C
EST,ST,T,5B,1.0,3882,R
EST,ST,T,C4CM,1.0,4500,C
EST,ST,T,C4HM,3.0,29000,C
EST,ST,T,8A,1.5,19425,R
EST,ST,T,C4JM,1.0,18000,C
EST,ST,T,4AVP,1.8,24000,R
EST,ST,T,C4IV,3.0,40500,C
EST,ST,T,C4FV,0.8,13500,C
EST,ST,T,11,8.0,54000,R
EST,ST,T,C4LV,2.0,27000,C
EST,ST,T,C7BV,1.0,13500,C
EST,ST,T,4AV,1.8,21000,R
EST,ST,T,131,1.0,13500,R
EST,UD,T,9,6.3,48919,R
EST,UD,T,6B,0.8,9257,R
EST,UD,T,GEN,3.0,17631,R
EST,UD,T,OTH,0.8,9257,O
EST,UD,T,8B,0.3,2993,R
EST,UD,T,6,12.5,96063,R
EST,UD,T,10,16.0,124000,R
EST,UD,T,7A,0.8,9653,R
EST,UD,T,5,5.0,31505,R
EST,UD,V,VHR,0.5,5855,O
EST,UD,B,STL,5.0,31505,R
EST,MD,T,6,12.5,96063,R
EST,HO,T,10,16.0,124000,R
